martial,housing,loan,duration,poutcome,y
married,yes,no,261,unknown,no
single,yes,no,151,unknown,no
married,yes,yes,76,unknown,no
married,yes,no,92,unknown,no
single,no,no,198,unknown,no
married,yes,no,139,unknown,no
single,yes,yes,217,unknown,no
divorced,yes,no,380,unknown,no
married,yes,no,50,unknown,no
single,yes,no,55,unknown,no
divorced,yes,no,222,unknown,no
single,yes,no,137,unknown,no
married,yes,no,517,unknown,no
married,yes,no,71,unknown,no
married,yes,no,174,unknown,no
married,yes,no,353,unknown,no
single,yes,no,98,unknown,no
married,yes,no,38,unknown,no
married,yes,no,219,unknown,no
married,yes,no,54,unknown,no
married,yes,yes,262,unknown,no
married,yes,no,164,unknown,no
single,yes,yes,160,unknown,no
married,yes,no,342,unknown,no
married,yes,yes,181,unknown,no
married,yes,no,172,unknown,no
single,yes,no,296,unknown,no
married,yes,yes,127,unknown,no
single,yes,no,255,unknown,no
single,yes,yes,348,unknown,no
married,no,yes,225,unknown,no
married,yes,no,230,unknown,no
married,yes,yes,208,unknown,no
married,yes,no,226,unknown,no
married,yes,no,336,unknown,no
divorced,yes,no,242,unknown,no
married,yes,no,365,unknown,no
married,no,no,1666,unknown,no
divorced,yes,no,577,unknown,no
single,yes,no,137,unknown,no
divorced,yes,no,160,unknown,no
married,yes,no,180,unknown,no
married,yes,no,22,unknown,no
married,yes,no,1492,unknown,no
married,yes,no,616,unknown,no
single,yes,no,242,unknown,no
married,yes,no,355,unknown,no
married,yes,no,225,unknown,no
divorced,no,no,160,unknown,no
single,yes,no,363,unknown,no
married,yes,no,266,unknown,no
divorced,yes,no,253,unknown,no
married,yes,no,179,unknown,no
single,yes,no,787,unknown,no
single,yes,yes,145,unknown,no
single,no,yes,174,unknown,no
single,yes,no,104,unknown,no
married,yes,no,13,unknown,no
single,yes,no,185,unknown,no
married,yes,no,1778,unknown,no
married,yes,no,138,unknown,no
divorced,yes,no,812,unknown,no
married,yes,no,164,unknown,no
married,yes,no,391,unknown,no
married,yes,no,357,unknown,no
married,yes,no,91,unknown,no
married,no,no,528,unknown,no
divorced,yes,no,273,unknown,no
married,yes,no,158,unknown,no
single,yes,yes,177,unknown,no
married,yes,yes,258,unknown,no
married,yes,yes,172,unknown,no
married,yes,yes,154,unknown,no
married,yes,no,291,unknown,no
married,yes,no,181,unknown,no
married,yes,no,176,unknown,no
married,no,yes,211,unknown,no
divorced,no,no,349,unknown,no
divorced,yes,yes,272,unknown,no
divorced,yes,no,208,unknown,no
single,yes,no,193,unknown,no
divorced,no,no,212,unknown,no
single,yes,no,20,unknown,no
married,yes,no,1042,unknown,yes
married,yes,yes,246,unknown,no
married,yes,no,529,unknown,no
married,no,no,1467,unknown,yes
married,yes,no,1389,unknown,yes
divorced,yes,yes,188,unknown,no
married,yes,no,180,unknown,no
single,no,no,48,unknown,no
married,yes,yes,213,unknown,no
married,yes,no,583,unknown,no
married,yes,no,221,unknown,no
divorced,no,no,173,unknown,no
married,yes,yes,426,unknown,no
married,no,no,287,unknown,no
married,yes,no,101,unknown,no
married,yes,no,203,unknown,no
married,yes,no,197,unknown,no
married,yes,no,257,unknown,no
married,no,no,124,unknown,no
married,yes,no,229,unknown,no
married,yes,no,55,unknown,no
single,yes,no,400,unknown,no
married,yes,no,197,unknown,no
married,yes,no,190,unknown,no
married,no,yes,21,unknown,no
single,yes,no,514,unknown,no
married,yes,no,849,unknown,no
divorced,yes,no,194,unknown,no
divorced,no,no,144,unknown,no
married,yes,yes,212,unknown,no
married,yes,no,286,unknown,no
divorced,yes,no,107,unknown,no
married,yes,no,247,unknown,no
married,yes,no,518,unknown,no
single,yes,no,364,unknown,no
divorced,no,no,178,unknown,no
married,no,no,98,unknown,no
divorced,yes,no,439,unknown,no
married,yes,no,79,unknown,no
married,yes,no,120,unknown,no
married,yes,yes,127,unknown,no
married,no,yes,175,unknown,no
single,yes,no,262,unknown,no
single,yes,yes,61,unknown,no
married,yes,yes,78,unknown,no
married,yes,no,143,unknown,no
married,yes,no,579,unknown,yes
married,no,no,677,unknown,no
single,yes,no,345,unknown,no
single,yes,no,185,unknown,no
single,yes,yes,100,unknown,no
single,yes,no,125,unknown,no
married,yes,no,193,unknown,no
single,yes,no,136,unknown,no
single,no,no,73,unknown,no
married,yes,no,528,unknown,no
married,yes,no,541,unknown,no
divorced,yes,no,163,unknown,no
single,yes,no,301,unknown,no
married,no,no,46,unknown,no
married,yes,no,204,unknown,no
married,yes,no,98,unknown,no
married,yes,no,71,unknown,no
divorced,yes,no,157,unknown,no
married,yes,no,243,unknown,no
married,yes,no,186,unknown,no
married,yes,no,579,unknown,no
married,yes,no,163,unknown,no
single,yes,no,610,unknown,no
married,yes,no,2033,unknown,no
married,yes,no,85,unknown,no
married,no,no,114,unknown,no
married,yes,no,114,unknown,no
married,yes,no,57,unknown,no
divorced,yes,no,238,unknown,no
married,yes,no,93,unknown,no
married,yes,no,128,unknown,no
married,yes,no,107,unknown,no
single,yes,no,181,unknown,no
single,yes,no,303,unknown,no
married,yes,no,558,unknown,no
married,yes,no,270,unknown,no
single,yes,no,228,unknown,no
married,yes,no,99,unknown,no
married,yes,no,240,unknown,no
married,no,no,673,unknown,yes
married,no,no,233,unknown,no
married,yes,no,1056,unknown,no
married,yes,yes,250,unknown,no
married,yes,no,252,unknown,no
single,no,no,138,unknown,no
divorced,yes,no,130,unknown,no
divorced,yes,no,412,unknown,no
married,yes,no,179,unknown,no
married,yes,no,19,unknown,no
married,yes,no,458,unknown,no
married,yes,no,717,unknown,no
married,yes,no,313,unknown,no
divorced,yes,no,683,unknown,no
married,yes,no,1077,unknown,no
married,yes,no,416,unknown,no
married,yes,no,146,unknown,no
married,yes,no,167,unknown,no
divorced,yes,no,315,unknown,no
married,no,no,140,unknown,no
single,yes,yes,346,unknown,no
single,yes,no,562,unknown,no
married,yes,no,172,unknown,no
married,yes,no,217,unknown,no
married,yes,no,142,unknown,no
married,yes,no,67,unknown,no
married,yes,no,291,unknown,no
single,yes,no,309,unknown,no
married,yes,no,248,unknown,no
divorced,no,yes,98,unknown,no
married,yes,no,256,unknown,no
divorced,yes,no,82,unknown,no
married,yes,no,577,unknown,no
married,yes,no,286,unknown,no
married,yes,no,477,unknown,no
single,yes,no,611,unknown,no
married,yes,no,471,unknown,no
married,yes,no,381,unknown,no
married,yes,yes,42,unknown,no
married,yes,no,251,unknown,no
single,yes,no,408,unknown,no
married,yes,no,215,unknown,no
married,yes,no,287,unknown,no
married,yes,no,216,unknown,no
divorced,no,no,366,unknown,no
married,yes,no,210,unknown,no
married,yes,no,288,unknown,no
married,yes,no,168,unknown,no
married,no,no,338,unknown,no
married,no,no,410,unknown,no
married,no,no,177,unknown,no
married,yes,yes,127,unknown,no
married,yes,no,357,unknown,no
married,yes,no,175,unknown,no
divorced,yes,no,300,unknown,no
married,no,yes,136,unknown,no
divorced,yes,no,1419,unknown,no
married,yes,no,125,unknown,no
married,yes,no,213,unknown,no
single,yes,no,27,unknown,no
married,no,no,238,unknown,no
divorced,yes,no,124,unknown,no
married,yes,no,18,unknown,no
married,yes,no,730,unknown,no
married,yes,no,746,unknown,no
married,no,no,121,unknown,no
married,yes,no,247,unknown,no
married,yes,no,40,unknown,no
divorced,yes,no,181,unknown,no
married,yes,no,79,unknown,no
divorced,yes,no,206,unknown,no
divorced,yes,yes,389,unknown,no
married,yes,yes,127,unknown,no
married,yes,no,702,unknown,no
married,no,no,151,unknown,no
married,yes,no,117,unknown,no
married,yes,no,232,unknown,no
married,no,no,408,unknown,no
single,yes,no,179,unknown,no
married,yes,no,39,unknown,no
married,yes,no,282,unknown,no
married,yes,no,714,unknown,no
married,yes,no,50,unknown,no
married,yes,yes,181,unknown,no
single,yes,no,142,unknown,no
divorced,yes,no,227,unknown,no
single,yes,no,119,unknown,no
married,yes,no,361,unknown,no
divorced,yes,no,73,unknown,no
single,yes,no,67,unknown,no
married,yes,yes,350,unknown,no
married,yes,no,332,unknown,no
married,yes,no,611,unknown,no
single,yes,no,113,unknown,no
married,yes,no,132,unknown,no
divorced,yes,no,58,unknown,no
married,yes,no,151,unknown,no
single,yes,no,89,unknown,no
single,yes,no,152,unknown,no
divorced,yes,no,611,unknown,no
married,yes,yes,110,unknown,no
married,yes,no,463,unknown,no
single,yes,yes,562,unknown,yes
divorced,yes,no,962,unknown,no
married,yes,no,10,unknown,no
divorced,no,no,118,unknown,no
married,yes,no,92,unknown,no
married,yes,no,143,unknown,no
divorced,yes,no,189,unknown,no
married,no,no,234,unknown,no
single,yes,no,75,unknown,no
married,no,no,189,unknown,no
married,yes,no,621,unknown,no
married,yes,yes,55,unknown,no
married,no,no,310,unknown,no
married,yes,no,156,unknown,no
single,yes,no,5,unknown,no
single,yes,no,225,unknown,no
married,yes,no,125,unknown,no
single,yes,no,2,unknown,no
married,yes,no,286,unknown,no
married,yes,no,164,unknown,no
married,yes,no,98,unknown,no
single,yes,no,742,unknown,no
single,yes,no,226,unknown,no
married,no,no,120,unknown,no
married,yes,no,362,unknown,no
divorced,yes,no,357,unknown,no
single,yes,no,200,unknown,no
single,yes,no,204,unknown,no
divorced,yes,no,126,unknown,no
married,yes,no,65,unknown,no
married,yes,no,107,unknown,no
married,yes,no,267,unknown,no
married,yes,no,248,unknown,no
single,yes,no,215,unknown,no
married,yes,no,209,unknown,no
married,yes,no,205,unknown,no
married,yes,no,83,unknown,no
married,yes,no,106,unknown,no
married,yes,yes,189,unknown,no
married,yes,no,105,unknown,no
married,yes,no,106,unknown,no
married,yes,no,108,unknown,no
divorced,yes,yes,311,unknown,no
divorced,yes,yes,214,unknown,no
single,no,no,132,unknown,no
married,yes,no,358,unknown,no
married,yes,yes,453,unknown,no
single,yes,no,364,unknown,no
single,no,no,136,unknown,no
married,yes,no,386,unknown,no
married,yes,no,173,unknown,no
married,yes,no,241,unknown,no
married,yes,no,224,unknown,no
divorced,no,no,148,unknown,no
single,yes,no,196,unknown,no
single,no,no,111,unknown,no
single,yes,no,231,unknown,no
married,yes,no,316,unknown,no
married,yes,no,216,unknown,no
married,yes,no,240,unknown,no
married,no,no,669,unknown,no
married,yes,no,425,unknown,no
single,yes,no,143,unknown,no
single,yes,no,174,unknown,no
divorced,yes,no,313,unknown,no
married,yes,no,135,unknown,no
single,yes,no,146,unknown,no
married,yes,yes,152,unknown,no
single,no,no,402,unknown,no
single,yes,no,213,unknown,no
single,yes,no,144,unknown,no
divorced,yes,no,124,unknown,no
divorced,yes,no,183,unknown,no
married,yes,no,325,unknown,no
married,yes,no,39,unknown,no
married,no,no,503,unknown,no
married,yes,no,95,unknown,no
married,yes,no,680,unknown,no
married,yes,no,421,unknown,no
married,yes,no,174,unknown,no
single,yes,no,113,unknown,no
married,yes,no,808,unknown,no
married,yes,no,198,unknown,no
married,yes,no,195,unknown,no
divorced,no,no,347,unknown,no
single,yes,no,208,unknown,no
single,yes,no,404,unknown,no
single,yes,no,396,unknown,no
married,yes,no,216,unknown,no
single,yes,no,98,unknown,no
married,yes,no,350,unknown,no
married,yes,no,114,unknown,no
married,yes,no,88,unknown,no
married,yes,yes,379,unknown,no
married,yes,no,190,unknown,no
married,yes,no,158,unknown,no
divorced,yes,no,102,unknown,no
divorced,yes,no,306,unknown,no
divorced,yes,no,218,unknown,no
single,yes,no,54,unknown,no
married,yes,no,344,unknown,no
married,yes,yes,195,unknown,no
married,no,no,652,unknown,no
single,yes,no,286,unknown,no
married,yes,no,189,unknown,no
single,yes,no,83,unknown,no
single,no,no,184,unknown,no
married,yes,no,235,unknown,no
married,yes,no,290,unknown,no
married,yes,no,232,unknown,no
married,yes,no,133,unknown,no
married,yes,yes,318,unknown,no
married,no,no,260,unknown,no
married,no,no,437,unknown,no
married,yes,no,402,unknown,no
married,yes,yes,85,unknown,no
married,yes,no,125,unknown,no
married,yes,no,501,unknown,no
married,yes,yes,1201,unknown,yes
divorced,yes,no,253,unknown,no
divorced,yes,no,1030,unknown,yes
married,yes,no,149,unknown,no
divorced,yes,no,114,unknown,no
married,yes,no,243,unknown,no
married,yes,no,769,unknown,no
single,yes,yes,135,unknown,no
single,yes,no,231,unknown,no
married,no,no,76,unknown,no
married,no,yes,199,unknown,no
married,yes,no,152,unknown,no
married,yes,no,124,unknown,no
married,yes,yes,424,unknown,no
single,yes,no,43,unknown,no
married,yes,no,154,unknown,no
married,no,no,203,unknown,no
married,no,no,326,unknown,no
married,no,no,393,unknown,no
divorced,yes,no,241,unknown,no
married,yes,no,483,unknown,no
married,yes,no,259,unknown,no
single,yes,no,227,unknown,no
married,yes,no,673,unknown,no
single,yes,no,576,unknown,no
married,yes,no,180,unknown,no
married,yes,no,168,unknown,no
divorced,yes,no,90,unknown,no
married,no,no,505,unknown,no
married,yes,no,245,unknown,no
divorced,yes,yes,186,unknown,no
married,yes,no,623,unknown,no
single,yes,no,496,unknown,no
single,yes,no,118,unknown,no
single,yes,no,342,unknown,no
married,yes,no,225,unknown,no
single,yes,no,185,unknown,no
married,yes,no,196,unknown,no
married,yes,no,276,unknown,no
married,yes,no,76,unknown,no
single,yes,no,87,unknown,no
married,yes,no,195,unknown,no
married,yes,no,744,unknown,no
married,yes,no,765,unknown,no
married,yes,no,262,unknown,no
married,yes,no,119,unknown,no
married,yes,no,198,unknown,no
married,yes,no,150,unknown,no
married,no,no,241,unknown,no
single,yes,no,181,unknown,no
divorced,no,no,196,unknown,no
married,yes,no,149,unknown,no
married,yes,no,246,unknown,no
single,yes,no,112,unknown,no
married,yes,no,309,unknown,no
single,yes,no,278,unknown,no
married,yes,no,140,unknown,no
divorced,yes,no,136,unknown,no
single,yes,no,1623,unknown,yes
married,yes,no,101,unknown,no
single,yes,no,144,unknown,no
married,yes,no,238,unknown,no
married,yes,no,354,unknown,no
married,no,no,79,unknown,no
divorced,yes,no,187,unknown,no
married,yes,yes,451,unknown,no
married,yes,yes,159,unknown,no
married,yes,yes,409,unknown,no
single,yes,yes,170,unknown,no
married,yes,no,608,unknown,yes
single,no,no,243,unknown,no
married,yes,no,145,unknown,no
divorced,no,no,112,unknown,no
married,yes,no,262,unknown,no
married,yes,no,124,unknown,no
married,yes,no,53,unknown,no
single,yes,no,134,unknown,no
single,no,yes,204,unknown,no
single,yes,no,186,unknown,no
married,yes,no,678,unknown,no
married,yes,no,182,unknown,no
married,yes,no,162,unknown,no
divorced,yes,no,27,unknown,no
single,yes,no,699,unknown,no
married,yes,no,43,unknown,no
married,yes,no,97,unknown,no
married,no,no,1677,unknown,yes
married,yes,no,283,unknown,no
married,yes,no,323,unknown,no
single,yes,no,82,unknown,no
single,yes,no,310,unknown,no
single,yes,no,185,unknown,no
married,yes,no,47,unknown,no
married,yes,no,145,unknown,no
married,yes,yes,204,unknown,no
married,no,no,187,unknown,no
single,yes,no,30,unknown,no
divorced,no,no,472,unknown,no
divorced,yes,yes,448,unknown,no
divorced,yes,yes,264,unknown,no
married,yes,no,169,unknown,no
married,yes,no,288,unknown,no
married,yes,no,176,unknown,no
married,yes,no,215,unknown,no
married,yes,no,337,unknown,no
married,no,no,278,unknown,no
divorced,yes,no,188,unknown,no
single,yes,no,174,unknown,no
divorced,yes,no,226,unknown,no
divorced,yes,no,190,unknown,no
married,yes,no,111,unknown,no
single,yes,no,164,unknown,no
married,yes,yes,157,unknown,no
