age,martial,education,housing,y
58,married,tertiary,yes,no
44,single,secondary,yes,no
33,married,secondary,yes,no
47,married,unknown,yes,no
33,single,unknown,no,no
35,married,tertiary,yes,no
28,single,tertiary,yes,no
42,divorced,tertiary,yes,no
58,married,primary,yes,no
43,single,secondary,yes,no
41,divorced,secondary,yes,no
29,single,secondary,yes,no
53,married,secondary,yes,no
58,married,unknown,yes,no
57,married,secondary,yes,no
51,married,primary,yes,no
45,single,unknown,yes,no
57,married,primary,yes,no
60,married,primary,yes,no
33,married,secondary,yes,no
28,married,secondary,yes,no
56,married,tertiary,yes,no
32,single,primary,yes,no
25,married,secondary,yes,no
40,married,primary,yes,no
44,married,secondary,yes,no
39,single,tertiary,yes,no
52,married,secondary,yes,no
46,single,secondary,yes,no
36,single,secondary,yes,no
57,married,secondary,no,no
49,married,tertiary,yes,no
60,married,secondary,yes,no
59,married,secondary,yes,no
51,married,tertiary,yes,no
57,divorced,secondary,yes,no
25,married,secondary,yes,no
53,married,secondary,no,no
36,divorced,secondary,yes,no
37,single,secondary,yes,no
44,divorced,secondary,yes,no
50,married,secondary,yes,no
60,married,unknown,yes,no
54,married,secondary,yes,no
58,married,unknown,yes,no
36,single,primary,yes,no
58,married,tertiary,yes,no
44,married,secondary,yes,no
55,divorced,secondary,no,no
29,single,tertiary,yes,no
54,married,secondary,yes,no
48,divorced,tertiary,yes,no
32,married,tertiary,yes,no
42,single,secondary,yes,no
24,single,secondary,yes,no
38,single,tertiary,no,no
38,single,tertiary,yes,no
47,married,unknown,yes,no
40,single,unknown,yes,no
46,married,primary,yes,no
32,married,tertiary,yes,no
53,divorced,secondary,yes,no
57,married,primary,yes,no
33,married,secondary,yes,no
49,married,unknown,yes,no
51,married,tertiary,yes,no
60,married,tertiary,no,no
59,divorced,tertiary,yes,no
55,married,secondary,yes,no
35,single,secondary,yes,no
57,married,secondary,yes,no
31,married,secondary,yes,no
54,married,secondary,yes,no
55,married,primary,yes,no
43,married,secondary,yes,no
53,married,secondary,yes,no
44,married,secondary,no,no
55,divorced,secondary,no,no
49,divorced,secondary,yes,no
55,divorced,secondary,yes,no
45,single,secondary,yes,no
47,divorced,secondary,no,no
42,single,secondary,yes,no
59,married,secondary,yes,yes
46,married,tertiary,yes,no
51,married,primary,yes,no
56,married,secondary,no,yes
41,married,secondary,yes,yes
46,divorced,secondary,yes,no
57,married,secondary,yes,no
42,single,secondary,no,no
30,married,secondary,yes,no
60,married,secondary,yes,no
60,married,unknown,yes,no
57,divorced,secondary,no,no
36,married,tertiary,yes,no
55,married,secondary,no,no
60,married,tertiary,yes,no
39,married,secondary,yes,no
46,married,tertiary,yes,no
44,married,secondary,yes,no
53,married,primary,no,no
52,married,primary,yes,no
59,married,primary,yes,no
27,single,tertiary,yes,no
44,married,secondary,yes,no
47,married,tertiary,yes,no
34,married,secondary,no,no
59,single,secondary,yes,no
45,married,tertiary,yes,no
29,divorced,secondary,yes,no
46,divorced,secondary,no,no
56,married,primary,yes,no
36,married,primary,yes,no
59,divorced,primary,yes,no
44,married,secondary,yes,no
41,married,secondary,yes,no
33,single,tertiary,yes,no
59,divorced,tertiary,no,no
57,married,primary,no,no
56,divorced,unknown,yes,no
51,married,secondary,yes,no
34,married,unknown,yes,no
43,married,secondary,yes,no
52,married,tertiary,no,no
33,single,secondary,yes,no
29,single,secondary,yes,no
34,married,secondary,yes,no
31,married,secondary,yes,no
55,married,secondary,yes,yes
55,married,unknown,no,no
32,single,secondary,yes,no
38,single,secondary,yes,no
55,single,secondary,yes,no
28,single,tertiary,yes,no
23,married,secondary,yes,no
32,single,secondary,yes,no
43,single,unknown,no,no
32,married,secondary,yes,no
46,married,secondary,yes,no
53,divorced,primary,yes,no
34,single,secondary,yes,no
57,married,tertiary,no,no
37,married,secondary,yes,no
59,married,secondary,yes,no
33,married,secondary,yes,no
56,divorced,primary,yes,no
48,married,secondary,yes,no
43,married,primary,yes,no
54,married,primary,yes,no
51,married,unknown,yes,no
26,single,secondary,yes,no
40,married,tertiary,yes,no
39,married,secondary,yes,no
50,married,primary,no,no
41,married,secondary,yes,no
51,married,unknown,yes,no
60,divorced,secondary,yes,no
52,married,secondary,yes,no
48,married,secondary,yes,no
48,married,unknown,yes,no
39,single,tertiary,yes,no
47,single,secondary,yes,no
40,married,secondary,yes,no
45,married,secondary,yes,no
26,single,secondary,yes,no
52,married,tertiary,yes,no
54,married,secondary,yes,no
54,married,tertiary,no,yes
50,married,primary,no,no
35,married,secondary,yes,no
44,married,secondary,yes,no
53,married,unknown,yes,no
35,single,primary,no,no
60,divorced,secondary,yes,no
53,divorced,secondary,yes,no
48,married,secondary,yes,no
34,married,secondary,yes,no
54,married,secondary,yes,no
51,married,secondary,yes,no
31,married,tertiary,yes,no
35,divorced,secondary,yes,no
35,married,secondary,yes,no
38,married,secondary,yes,no
36,married,tertiary,yes,no
58,married,primary,yes,no
40,divorced,unknown,yes,no
54,married,secondary,no,no
34,single,secondary,yes,no
31,single,tertiary,yes,no
51,married,secondary,yes,no
33,married,tertiary,yes,no
55,married,tertiary,yes,no
42,married,secondary,yes,no
34,married,secondary,yes,no
33,single,secondary,yes,no
38,married,secondary,yes,no
50,divorced,tertiary,no,no
43,married,tertiary,yes,no
61,divorced,primary,yes,no
47,married,secondary,yes,no
48,married,tertiary,yes,no
44,married,secondary,yes,no
35,single,unknown,yes,no
35,married,secondary,yes,no
50,married,secondary,yes,no
41,married,tertiary,yes,no
41,married,tertiary,yes,no
39,single,unknown,yes,no
42,married,secondary,yes,no
38,married,secondary,yes,no
53,married,secondary,yes,no
59,divorced,primary,no,no
36,married,secondary,yes,no
54,married,primary,yes,no
40,married,tertiary,yes,no
47,married,unknown,no,no
53,married,unknown,no,no
46,married,primary,no,no
39,married,tertiary,yes,no
40,married,secondary,yes,no
28,married,primary,yes,no
35,divorced,secondary,yes,no
55,married,secondary,no,no
43,divorced,unknown,yes,no
48,married,primary,yes,no
58,married,unknown,yes,no
33,single,tertiary,yes,no
36,married,unknown,no,no
53,divorced,secondary,yes,no
47,married,primary,yes,no
31,married,secondary,yes,no
57,married,secondary,yes,no
53,married,unknown,no,no
55,married,primary,yes,no
45,married,primary,yes,no
53,divorced,secondary,yes,no
37,married,primary,yes,no
44,divorced,secondary,yes,no
49,divorced,primary,yes,no
46,married,secondary,yes,no
43,married,unknown,yes,no
38,married,secondary,no,no
43,married,secondary,yes,no
49,married,tertiary,yes,no
42,married,unknown,no,no
22,single,secondary,yes,no
40,married,tertiary,yes,no
39,married,secondary,yes,no
51,married,secondary,yes,no
49,married,secondary,yes,no
53,married,secondary,yes,no
34,single,secondary,yes,no
33,divorced,secondary,yes,no
50,single,tertiary,yes,no
39,married,primary,yes,no
59,divorced,secondary,yes,no
30,single,secondary,yes,no
36,married,secondary,yes,no
40,married,secondary,yes,no
53,married,secondary,yes,no
34,single,tertiary,yes,no
37,married,secondary,yes,no
42,divorced,tertiary,yes,no
41,married,primary,yes,no
30,single,tertiary,yes,no
37,single,tertiary,yes,no
39,divorced,secondary,yes,no
41,married,primary,yes,no
40,married,primary,yes,no
42,single,tertiary,yes,yes
40,divorced,primary,yes,no
57,married,secondary,yes,no
56,divorced,secondary,no,no
37,married,secondary,yes,no
59,married,secondary,yes,no
39,divorced,secondary,yes,no
49,married,secondary,no,no
38,single,secondary,yes,no
36,married,tertiary,no,no
50,married,primary,yes,no
41,married,secondary,yes,no
54,married,tertiary,no,no
58,married,primary,yes,no
30,single,secondary,yes,no
33,single,secondary,yes,no
47,married,secondary,yes,no
50,single,tertiary,yes,no
32,married,secondary,yes,no
40,married,secondary,yes,no
37,married,tertiary,yes,no
54,single,unknown,yes,no
24,single,secondary,yes,no
54,married,tertiary,no,no
34,married,secondary,yes,no
56,divorced,primary,yes,no
31,single,secondary,yes,no
24,single,secondary,yes,no
42,divorced,primary,yes,no
57,married,secondary,yes,no
42,married,unknown,yes,no
51,married,secondary,yes,no
57,married,secondary,yes,no
36,single,secondary,yes,no
53,married,unknown,yes,no
50,married,secondary,yes,no
54,married,tertiary,yes,no
55,married,secondary,yes,no
44,married,secondary,yes,no
43,married,unknown,yes,no
56,married,secondary,yes,no
54,married,unknown,yes,no
55,divorced,primary,yes,no
37,divorced,secondary,yes,no
33,single,tertiary,no,no
46,married,secondary,yes,no
36,married,secondary,yes,no
51,single,secondary,yes,no
40,single,primary,no,no
42,married,secondary,yes,no
51,married,secondary,yes,no
49,married,unknown,yes,no
48,married,secondary,yes,no
32,divorced,tertiary,no,no
31,single,secondary,yes,no
55,single,tertiary,no,no
40,single,secondary,yes,no
47,married,tertiary,yes,no
57,married,unknown,yes,no
41,married,secondary,yes,no
48,married,secondary,no,no
42,married,unknown,yes,no
30,single,secondary,yes,no
58,single,tertiary,yes,no
45,divorced,tertiary,yes,no
49,married,secondary,yes,no
42,single,secondary,yes,no
53,married,secondary,yes,no
51,single,secondary,no,no
32,single,secondary,yes,no
41,single,secondary,yes,no
43,divorced,secondary,yes,no
40,divorced,secondary,yes,no
50,married,primary,yes,no
34,married,tertiary,yes,no
53,married,unknown,no,no
45,married,secondary,yes,no
39,married,primary,yes,no
44,married,tertiary,yes,no
55,married,tertiary,yes,no
46,single,tertiary,yes,no
45,married,secondary,yes,no
34,married,secondary,yes,no
36,married,secondary,yes,no
59,divorced,unknown,no,no
31,single,secondary,yes,no
44,single,secondary,yes,no
33,single,tertiary,yes,no
40,married,secondary,yes,no
46,single,tertiary,yes,no
48,married,tertiary,yes,no
42,married,secondary,yes,no
27,married,secondary,yes,no
48,married,secondary,yes,no
59,married,secondary,yes,no
46,married,tertiary,yes,no
38,divorced,secondary,yes,no
43,divorced,tertiary,yes,no
38,divorced,tertiary,yes,no
23,single,secondary,yes,no
34,married,secondary,yes,no
