Region,Milk,Frozen,Delicassen,Channel
3,9656,214,1338,2
3,9810,1762,1776,2
3,8808,2405,7844,2
3,1196,6404,1788,1
3,5410,3915,5185,2
3,8259,666,1451,2
3,3199,480,545,2
3,4956,1669,2566,2
3,3648,425,750,1
3,11093,1159,2098,2
3,5403,4400,1744,2
3,1124,1420,497,2
3,12319,287,2931,2
3,6208,3095,602,2
3,9465,294,2168,2
3,1114,397,412,1
3,8816,134,1080,2
3,6157,839,4478,1
3,6327,2205,3181,2
3,2495,669,501,1
3,4519,1066,2124,2
3,871,3383,569,1
3,1917,9408,4334,1
3,36423,5154,16523,2
3,9776,2915,5778,2
3,4230,201,57,2
3,961,3151,833,1
3,803,485,518,1
3,20484,1158,5206,2
3,2100,1200,823,1
3,3610,1148,2963,1
3,4339,2088,985,1
3,1318,266,405,1
3,4786,6130,1083,1
3,1979,425,395,1
3,5491,833,436,2
3,4362,1729,4626,1
3,10556,1920,714,2
3,15729,33,433,2
3,555,10002,2916,1
3,4332,9510,5864,1
3,3065,2033,2802,1
3,7555,188,46,2
3,11095,787,72,2
3,7027,541,65,2
3,22044,1740,4985,2
3,14069,1668,1452,2
3,54259,7782,6465,2
3,6152,584,1476,2
3,21412,1798,1163,2
3,1095,3860,2162,1
3,4051,239,301,1
3,3916,532,1278,2
3,10473,744,224,2
3,1449,2436,1333,1
3,3683,1057,1130,1
3,29892,2616,1340,2
3,9933,38,1282,2
3,1970,596,436,1
3,5360,129,1603,1
3,3045,96,225,2
3,38369,3254,2017,2
3,6245,4154,964,2
3,11601,2896,1295,2
3,1227,3724,1145,1
3,20959,36,1423,2
3,1534,175,27,1
3,6759,1256,834,2
3,7260,5870,3095,1
3,2820,779,144,1
3,2037,10643,1365,1
3,1266,5373,14472,1
3,5139,8872,181,1
3,5332,8132,648,2
3,6343,1285,1780,2
3,1137,4407,975,1
3,3587,7530,894,1
3,12697,869,1009,2
3,1175,2096,167,1
3,3259,868,1653,1
3,829,430,529,1
3,9540,283,156,2
3,9232,737,2342,2
3,1563,2320,772,1
3,3327,1178,120,2
3,46197,1026,2944,2
3,73498,987,903,2
3,5025,6312,14351,1
3,542,9735,46,1
3,3836,3443,3178,1
3,596,3347,360,1
3,2762,8693,1117,1
3,27472,3232,5130,2
3,3090,35009,2698,1
3,12220,206,244,2
3,2920,440,709,1
3,2616,145,217,2
3,254,774,63,1
3,112,895,132,1
3,2182,5639,323,1
3,7779,3252,3029,2
3,10810,1593,1838,2
3,6459,2561,1386,2
3,3504,18028,2498,1
3,2132,1336,548,1
3,1014,910,1378,1
3,6337,133,1831,2
3,10646,2471,1438,2
3,8397,247,1236,2
3,16729,673,3,2
3,1648,2276,1647,1
3,11114,805,1519,2
3,2770,8853,2708,1
3,2295,3220,1561,1
3,1080,2555,1266,1
3,793,2715,610,1
3,2521,1517,222,1
3,3880,1647,1160,1
3,1891,5343,933,1
3,2344,3896,635,1
3,1200,2417,1136,1
3,3234,2395,255,1
3,201,1991,860,1
3,10769,2194,143,2
3,1642,4787,1621,1
3,3473,16538,918,1
3,1840,8195,483,1
3,7243,880,2749,2
3,8847,142,3,1
3,926,1718,1819,1
3,2428,6316,911,1
3,589,346,310,1
3,2032,576,328,1
3,1042,436,396,1
3,1882,720,537,1
3,1289,1170,326,1
3,8579,4575,1542,1
3,8080,661,36,1
3,4257,155,3271,1
3,4979,825,929,1
3,4280,2279,2616,1
3,13252,321,1450,1
3,7152,2995,3,1
3,1596,8425,318,1
3,3677,118,201,1
3,8384,42,4430,2
3,1936,926,520,1
3,3373,1286,526,1
3,584,4052,434,1
3,1433,800,1440,1
3,1825,853,1067,1
3,3328,531,1774,1
3,1371,3001,184,1
3,9250,779,1627,1
3,55,75,8,1
3,10690,233,2153,2
3,5291,317,3182,2
3,1366,3378,418,1
3,6570,930,1682,2
3,7704,398,303,2
3,3651,824,2157,2
3,540,1092,2233,1
3,2024,2665,610,1
3,15726,2367,446,2
3,7603,2540,238,2
3,12653,4425,2379,2
3,6721,993,3637,2
3,3195,405,693,1
3,735,1393,429,1
3,717,2399,750,1
3,8675,1116,323,2
3,25862,651,6250,2
3,5479,333,707,1
3,7677,937,716,2
3,1208,2515,1442,1
3,7845,52,1697,2
3,6958,7368,230,1
3,7330,1752,2631,1
3,7075,1152,395,1
3,4888,4477,2165,1
3,6036,402,2794,1
3,29627,16745,8550,1
3,8533,443,156,1
3,43950,36534,47943,1
3,918,74,11,1
3,6448,2181,247,1
3,521,3470,727,1
3,8002,6269,3,1
3,7639,2758,404,2
3,11577,275,1856,2
3,6250,7332,64,1
3,295,890,84,1
3,1461,547,409,1
3,3485,959,666,2
3,1012,806,1142,1
3,5139,7888,1755,1
1,7209,18711,2876,1
1,7097,1127,1468,2
1,2154,3527,697,1
1,2280,520,347,1
1,13240,3941,731,2
1,14399,3549,1681,2
1,11487,5065,6854,1
1,685,469,18,1
1,891,1383,1328,1
1,11711,955,710,2
1,780,878,285,1
1,4737,2946,120,2
1,3748,1859,806,1
1,12729,864,797,2
1,1895,1801,2100,1
1,28326,4736,2870,2
1,1012,1291,1775,1
1,6602,1329,1215,1
1,6551,913,791,2
1,10765,1374,2388,1
1,16599,179,674,2
1,1475,2532,1158,1
1,7504,1285,6372,2
1,367,2306,130,1
1,899,1765,749,1
1,7503,91,239,1
1,1115,7496,375,1
1,2527,5612,1360,2
1,659,784,659,1
1,3243,660,786,1
1,5921,1759,1553,2
1,2204,2286,689,1
1,577,950,203,1
1,2746,6845,980,1
1,5989,8321,2137,2
1,10678,1439,490,1
1,1780,638,834,1
1,4984,937,7,1
1,2703,4260,2563,1
1,6380,1218,295,1
1,820,2312,225,1
1,3838,4634,1215,1
1,475,1112,216,1
1,2567,5243,2253,1
1,3575,11422,2564,1
1,1801,2216,1047,1
1,659,3752,578,1
1,3576,561,2398,1
1,7775,1183,1970,1
1,6154,230,2784,2
1,2428,1777,610,1
1,346,2077,659,1
1,5279,559,572,1
1,3795,6340,291,1
1,1993,1730,710,1
1,23133,6746,5121,2
1,1860,7683,1693,1
1,7961,432,1391,1
1,17972,4686,3265,1
1,489,3242,615,1
1,5008,453,373,1
1,1931,5004,987,1
1,4563,6422,3321,1
1,4959,3012,818,1
1,4885,327,548,1
1,1110,6818,287,1
1,1372,982,655,1
1,1115,4324,411,1
1,9679,61,1265,2
1,23527,10155,3636,1
1,9763,2221,2563,2
1,1222,3975,3628,1
1,8053,1069,698,2
1,258,2516,204,1
1,1032,5500,56,1
1,5007,1120,1550,1
1,8323,529,1040,1
3,3045,4802,1824,1
3,1703,744,1153,1
3,1610,862,379,1
3,3749,4479,2503,1
3,829,16919,139,1
3,2317,5845,1409,1
3,6200,1293,1721,2
3,2884,977,1104,1
3,7108,1093,2079,2
3,3965,5970,1404,1
3,3613,10303,1384,1
3,4411,8692,2406,1
3,640,1042,18,1
3,2247,1619,128,1
3,2102,8366,1027,1
3,594,848,258,1
3,286,1388,22,1
3,2160,502,1522,1
3,3354,2507,686,1
3,3086,3838,1060,1
2,11103,902,741,2
2,2013,909,1854,1
2,1897,417,254,2
2,1304,3045,898,1
2,3199,1455,531,2
2,4560,934,1037,2
2,879,264,259,1
2,6243,824,2005,2
2,13316,1809,172,2
2,5302,364,555,2
2,3688,492,59,2
2,7460,617,2410,2
2,12939,799,211,2
2,12867,1840,1543,2
2,2374,1149,925,1
2,1020,416,656,1
2,20655,1465,806,2
2,1492,12569,1117,1
2,2335,3046,117,1
2,3737,1274,142,2
2,925,4447,297,1
2,1795,1483,1233,1
2,14982,662,3508,2
2,1375,2679,1059,1
2,3088,978,1637,1
2,2713,2121,51,1
2,25071,1128,1625,2
2,3696,514,834,1
2,1897,2714,1113,1
2,713,3703,229,1
2,944,915,573,1
2,3587,2369,1092,1
2,16784,60869,5609,1
2,1610,3498,834,1
2,899,414,522,1
2,2209,7849,1534,1
2,1486,5127,739,1
2,1786,3570,1043,1
2,14881,1234,1102,2
2,3216,2208,2602,1
2,4980,131,1215,2
2,928,11559,3486,2
2,6817,1365,2139,2
2,1511,650,778,1
2,1347,8170,868,1
2,333,15601,550,1
2,1188,9584,1942,1
3,4025,388,1371,2
3,5763,767,2158,2
3,5758,349,1328,1
3,6964,1456,37,2
3,1172,2234,379,1
3,2602,402,303,1
3,6939,2693,1115,2
3,7184,2809,1022,2
3,2380,1341,665,1
3,14641,2005,445,2
3,1099,1796,995,1
3,10044,1741,3137,2
3,1106,830,195,1
3,6264,228,1111,2
3,7393,6386,2341,1
3,727,245,127,1
3,134,3157,548,1
3,1275,137,110,2
3,18664,6114,4100,1
3,5878,340,776,1
3,2872,2601,503,1
3,607,1206,405,1
3,1601,560,712,1
3,997,191,314,1
3,873,1103,468,1
3,6128,1619,3105,2
3,2217,1173,447,1
3,894,1457,342,1
3,1196,2046,558,1
3,337,1089,296,1
