Region,Fresh,Milk,Grocery,Channel
3,12669,9656,7561,2
3,7057,9810,9568,2
3,6353,8808,7684,2
3,13265,1196,4221,1
3,22615,5410,7198,2
3,9413,8259,5126,2
3,12126,3199,6975,2
3,7579,4956,9426,2
3,5963,3648,6192,1
3,6006,11093,18881,2
3,3366,5403,12974,2
3,13146,1124,4523,2
3,31714,12319,11757,2
3,21217,6208,14982,2
3,24653,9465,12091,2
3,10253,1114,3821,1
3,1020,8816,12121,2
3,5876,6157,2933,1
3,18601,6327,10099,2
3,7780,2495,9464,1
3,17546,4519,4602,2
3,5567,871,2010,1
3,31276,1917,4469,1
3,26373,36423,22019,2
3,22647,9776,13792,2
3,16165,4230,7595,2
3,9898,961,2861,1
3,14276,803,3045,1
3,4113,20484,25957,2
3,43088,2100,2609,1
3,18815,3610,11107,1
3,2612,4339,3133,1
3,21632,1318,2886,1
3,29729,4786,7326,1
3,1502,1979,2262,1
3,688,5491,11091,2
3,29955,4362,5428,1
3,15168,10556,12477,2
3,4591,15729,16709,2
3,56159,555,902,1
3,24025,4332,4757,1
3,19176,3065,5956,1
3,10850,7555,14961,2
3,630,11095,23998,2
3,9670,7027,10471,2
3,5181,22044,21531,2
3,3103,14069,21955,2
3,44466,54259,55571,2
3,11519,6152,10868,2
3,4967,21412,28921,2
3,6269,1095,1980,1
3,3347,4051,6996,1
3,40721,3916,5876,2
3,491,10473,11532,2
3,27329,1449,1947,1
3,5264,3683,5005,1
3,4098,29892,26866,2
3,5417,9933,10487,2
3,13779,1970,1648,1
3,6137,5360,8040,1
3,8590,3045,7854,2
3,35942,38369,59598,2
3,7823,6245,6544,2
3,9396,11601,15775,2
3,4760,1227,3250,1
3,85,20959,45828,2
3,9,1534,7417,1
3,19913,6759,13462,2
3,2446,7260,3993,1
3,8352,2820,1293,1
3,16705,2037,3202,1
3,18291,1266,21042,1
3,4420,5139,2661,1
3,19899,5332,8713,2
3,8190,6343,9794,2
3,20398,1137,3,1
3,717,3587,6532,1
3,12205,12697,28540,2
3,10766,1175,2067,1
3,1640,3259,3655,1
3,7005,829,3009,1
3,219,9540,14403,2
3,10362,9232,11009,2
3,20874,1563,1783,1
3,11867,3327,4814,2
3,16117,46197,92780,2
3,22925,73498,32114,2
3,43265,5025,8117,1
3,7864,542,4042,1
3,24904,3836,5330,1
3,11405,596,1638,1
3,12754,2762,2530,1
3,9198,27472,32034,2
3,11314,3090,2062,1
3,5626,12220,11323,2
3,3,2920,6252,1
3,23,2616,8118,2
3,403,254,610,1
3,503,112,778,1
3,9658,2182,1909,1
3,11594,7779,12144,2
3,1420,10810,16267,2
3,2932,6459,7677,2
3,56082,3504,8906,1
3,14100,2132,3445,1
3,15587,1014,3970,1
3,1454,6337,10704,2
3,8797,10646,14886,2
3,1531,8397,6981,2
3,1406,16729,28986,2
3,11818,1648,1694,1
3,12579,11114,17569,2
3,19046,2770,2469,1
3,14438,2295,1733,1
3,18044,1080,2000,1
3,11134,793,2988,1
3,11173,2521,3355,1
3,6990,3880,5380,1
3,20049,1891,2362,1
3,8258,2344,2147,1
3,17160,1200,3412,1
3,4020,3234,1498,1
3,12212,201,245,1
3,11170,10769,8814,2
3,36050,1642,2961,1
3,76237,3473,7102,1
3,19219,1840,1658,1
3,21465,7243,10685,2
3,140,8847,3823,1
3,42312,926,1510,1
3,7149,2428,699,1
3,2101,589,314,1
3,14903,2032,2479,1
3,9434,1042,1235,1
3,7388,1882,2174,1
3,6300,1289,2591,1
3,4625,8579,7030,1
3,3087,8080,8282,1
3,13537,4257,5034,1
3,5387,4979,3343,1
3,17623,4280,7305,1
3,30379,13252,5189,1
3,37036,7152,8253,1
3,10405,1596,1096,1
3,18827,3677,1988,1
3,22039,8384,34792,2
3,7769,1936,2177,1
3,9203,3373,2707,1
3,5924,584,542,1
3,31812,1433,1651,1
3,16225,1825,1765,1
3,1289,3328,2022,1
3,18840,1371,3135,1
3,3463,9250,2368,1
3,622,55,137,1
3,1989,10690,19460,2
3,3830,5291,14855,2
3,17773,1366,2474,1
3,2861,6570,9618,2
3,355,7704,14682,2
3,1725,3651,12822,2
3,12434,540,283,1
3,15177,2024,3810,1
3,5531,15726,26870,2
3,5224,7603,8584,2
3,15615,12653,19858,2
3,4822,6721,9170,2
3,2926,3195,3268,1
3,5809,735,803,1
3,5414,717,2155,1
3,260,8675,13430,2
3,200,25862,19816,2
3,955,5479,6536,1
3,514,7677,19805,2
3,286,1208,5241,1
3,2343,7845,11874,2
3,45640,6958,6536,1
3,12759,7330,4533,1
3,11002,7075,4945,1
3,3157,4888,2500,1
3,12356,6036,8887,1
3,112151,29627,18148,1
3,694,8533,10518,1
3,36847,43950,20170,1
3,327,918,4710,1
3,8170,6448,1139,1
3,3009,521,854,1
3,2438,8002,9819,1
3,8040,7639,11687,2
3,834,11577,11522,2
3,16936,6250,1981,1
3,13624,295,1381,1
3,5509,1461,2251,1
3,180,3485,20292,2
3,7107,1012,2974,1
3,17023,5139,5230,1
1,30624,7209,4897,1
1,2427,7097,10391,2
1,11686,2154,6824,1
1,9670,2280,2112,1
1,3067,13240,23127,2
1,4484,14399,24708,2
1,25203,11487,9490,1
1,583,685,2216,1
1,1956,891,5226,1
1,1107,11711,23596,2
1,6373,780,950,1
1,2541,4737,6089,2
1,1537,3748,5838,1
1,5550,12729,16767,2
1,18567,1895,1393,1
1,12119,28326,39694,2
1,7291,1012,2062,1
1,3317,6602,6861,1
1,2362,6551,11364,2
1,2806,10765,15538,1
1,2532,16599,36486,2
1,18044,1475,2046,1
1,18,7504,15205,2
1,4155,367,1390,1
1,14755,899,1382,1
1,5396,7503,10646,1
1,5041,1115,2856,1
1,2790,2527,5265,2
1,7274,659,1499,1
1,12680,3243,4157,1
1,20782,5921,9212,2
1,4042,2204,1563,1
1,1869,577,572,1
1,8656,2746,2501,1
1,11072,5989,5615,2
1,2344,10678,3828,1
1,25962,1780,3838,1
1,964,4984,3316,1
1,15603,2703,3833,1
1,1838,6380,2824,1
1,8635,820,3047,1
1,18692,3838,593,1
1,7363,475,585,1
1,47493,2567,3779,1
1,22096,3575,7041,1
1,24929,1801,2475,1
1,18226,659,2914,1
1,11210,3576,5119,1
1,6202,7775,10817,1
1,3062,6154,13916,2
1,8885,2428,1777,1
1,13569,346,489,1
1,15671,5279,2406,1
1,8040,3795,2070,1
1,3191,1993,1799,1
1,6134,23133,33586,2
1,6623,1860,4740,1
1,29526,7961,16966,1
1,10379,17972,4748,1
1,31614,489,1495,1
1,11092,5008,5249,1
1,8475,1931,1883,1
1,56083,4563,2124,1
1,53205,4959,7336,1
1,9193,4885,2157,1
1,7858,1110,1094,1
1,23257,1372,1677,1
1,2153,1115,6684,1
1,1073,9679,15445,2
1,5909,23527,13699,1
1,572,9763,22182,2
1,20893,1222,2576,1
1,11908,8053,19847,2
1,15218,258,1138,1
1,4720,1032,975,1
1,2083,5007,1563,1
1,514,8323,6869,1
3,36817,3045,1493,1
3,894,1703,1841,1
3,680,1610,223,1
3,27901,3749,6964,1
3,9061,829,683,1
3,11693,2317,2543,1
3,17360,6200,9694,2
3,3366,2884,2431,1
3,12238,7108,6235,2
3,49063,3965,4252,1
3,25767,3613,2013,1
3,68951,4411,12609,1
3,40254,640,3600,1
3,7149,2247,1242,1
3,15354,2102,2828,1
3,16260,594,1296,1
3,42786,286,471,1
3,2708,2160,2642,1
3,6022,3354,3261,1
3,2838,3086,4329,1
2,3996,11103,12469,2
2,21273,2013,6550,1
2,7588,1897,5234,2
2,19087,1304,3643,1
2,8090,3199,6986,2
2,6758,4560,9965,2
2,444,879,2060,1
2,16448,6243,6360,2
2,5283,13316,20399,2
2,2886,5302,9785,2
2,2599,3688,13829,2
2,161,7460,24773,2
2,243,12939,8852,2
2,6468,12867,21570,2
2,17327,2374,2842,1
2,6987,1020,3007,1
2,918,20655,13567,2
2,7034,1492,2405,1
2,29635,2335,8280,1
2,2137,3737,19172,2
2,9784,925,2405,1
2,10617,1795,7647,1
2,1479,14982,11924,2
2,7127,1375,2201,1
2,1182,3088,6114,1
2,11800,2713,3558,1
2,9759,25071,17645,2
2,1774,3696,2280,1
2,9155,1897,5167,1
2,15881,713,3315,1
2,13360,944,11593,1
2,25977,3587,2464,1
2,32717,16784,13626,1
2,4414,1610,1431,1
2,542,899,1664,1
2,16933,2209,3389,1
2,5113,1486,4583,1
2,9790,1786,5109,1
2,11223,14881,26839,2
2,22321,3216,1447,1
2,8565,4980,67298,2
2,16823,928,2743,2
2,27082,6817,10790,2
2,13970,1511,1330,1
2,9351,1347,2611,1
2,3,333,7021,1
2,2617,1188,5332,1
3,381,4025,9670,2
3,2320,5763,11238,2
3,255,5758,5923,1
3,1689,6964,26316,2
3,3043,1172,1763,1
3,1198,2602,8335,1
3,2771,6939,15541,2
3,27380,7184,12311,2
3,3428,2380,2028,1
3,5981,14641,20521,2
3,3521,1099,1997,1
3,1210,10044,22294,2
3,608,1106,1533,1
3,117,6264,21203,2
3,14039,7393,2548,1
3,190,727,2012,1
3,22686,134,218,1
3,37,1275,22272,2
3,759,18664,1660,1
3,796,5878,2109,1
3,19746,2872,2006,1
3,4734,607,864,1
3,2121,1601,2453,1
3,4627,997,4438,1
3,2615,873,1524,1
3,4692,6128,8025,2
3,9561,2217,1664,1
3,3477,894,534,1
3,22335,1196,2406,1
3,6211,337,683,1
3,39679,3944,4955,2
3,20105,1887,1939,1
3,3884,3801,1641,1
3,15076,6257,7398,2
3,6338,2256,1668,1
3,5841,1450,1162,1
3,3136,8630,13586,2
3,38793,3154,2648,1
3,3225,3294,1902,1
3,4048,5164,10391,2
3,28257,944,2146,1
3,17770,4591,1617,1
3,34454,7435,8469,1
3,1821,1364,3450,1
3,10683,21858,15400,1
3,11635,922,1614,1
3,1206,3620,2857,1
3,20918,1916,1573,1
3,9785,848,1172,1
3,9385,1530,1422,1
3,3352,1181,1328,1
3,2647,2761,2313,1
3,518,4180,3600,1
3,23632,6730,3842,1
3,12377,865,3204,1
3,9602,1316,1263,1
3,4515,11991,9345,2
3,11535,1666,1428,1
3,11442,1032,582,1
3,9612,577,935,1
3,4446,906,1238,1
3,27167,2801,2128,1
3,26539,4753,5091,1
3,25606,11006,4604,1
3,18073,4613,3444,1
3,6884,1046,1167,1
3,25066,5010,5026,1
3,7362,12844,18683,2
3,8257,3880,6407,2
3,8708,3634,6100,1
3,6633,2096,4563,1
3,2126,3289,3281,1
3,97,3605,12400,1
3,4983,4859,6633,1
3,5969,1990,3417,1
3,7842,6046,8552,2
3,4389,10940,10908,2
3,5065,5499,11055,1
3,660,8494,18622,2
3,8861,3783,2223,1
3,4456,5266,13227,1
3,17063,4847,9053,2
3,26400,1377,4172,1
3,17565,3686,4657,2
3,16980,2884,12232,2
3,11243,2408,2593,1
3,13134,9347,14316,1
3,31012,16687,5429,1
3,3047,5970,4910,1
3,8607,1750,3580,1
3,3097,4230,16483,1
3,8533,5506,5160,1
3,21117,1162,4754,1
3,1982,3218,1493,1
3,16731,3922,7994,1
3,29703,12051,16027,1
3,39228,1431,764,1
3,14531,15488,30243,2
3,10290,1981,2232,1
3,2787,1698,2510,1
