@relation 'Wholesale customers data-weka.filters.unsupervised.attribute.Remove-V-R8,4,3,5,7,6,2,1'

@attribute Delicassen numeric
@attribute Milk numeric
@attribute Fresh numeric
@attribute Grocery numeric
@attribute Detergents_Paper numeric
@attribute Frozen numeric
@attribute Region numeric
@attribute Channel numeric

@data
1338,9656,12669,7561,2674,214,3,2
1776,9810,7057,9568,3293,1762,3,2
7844,8808,6353,7684,3516,2405,3,2
1788,1196,13265,4221,507,6404,3,1
5185,5410,22615,7198,1777,3915,3,2
1451,8259,9413,5126,1795,666,3,2
545,3199,12126,6975,3140,480,3,2
2566,4956,7579,9426,3321,1669,3,2
750,3648,5963,6192,1716,425,3,1
2098,11093,6006,18881,7425,1159,3,2
1744,5403,3366,12974,5977,4400,3,2
497,1124,13146,4523,549,1420,3,2
2931,12319,31714,11757,3881,287,3,2
602,6208,21217,14982,6707,3095,3,2
2168,9465,24653,12091,5058,294,3,2
412,1114,10253,3821,964,397,3,1
1080,8816,1020,12121,4508,134,3,2
4478,6157,5876,2933,370,839,3,1
3181,6327,18601,10099,2767,2205,3,2
501,2495,7780,9464,2518,669,3,1
2124,4519,17546,4602,2259,1066,3,2
569,871,5567,2010,375,3383,3,1
4334,1917,31276,4469,2381,9408,3,1
16523,36423,26373,22019,4337,5154,3,2
5778,9776,22647,13792,4482,2915,3,2
57,4230,16165,7595,4003,201,3,2
833,961,9898,2861,242,3151,3,1
518,803,14276,3045,100,485,3,1
5206,20484,4113,25957,8604,1158,3,2
823,2100,43088,2609,1107,1200,3,1
2963,3610,18815,11107,2134,1148,3,1
985,4339,2612,3133,820,2088,3,1
405,1318,21632,2886,918,266,3,1
1083,4786,29729,7326,361,6130,3,1
395,1979,1502,2262,483,425,3,1
436,5491,688,11091,4239,833,3,2
4626,4362,29955,5428,862,1729,3,1
714,10556,15168,12477,6506,1920,3,2
433,15729,4591,16709,6956,33,3,2
2916,555,56159,902,212,10002,3,1
5864,4332,24025,4757,1145,9510,3,1
2802,3065,19176,5956,2575,2033,3,1
46,7555,10850,14961,6899,188,3,2
72,11095,630,23998,9529,787,3,2
65,7027,9670,10471,4618,541,3,2
4985,22044,5181,21531,7353,1740,3,2
1452,14069,3103,21955,6792,1668,3,2
6465,54259,44466,55571,24171,7782,3,2
1476,6152,11519,10868,5121,584,3,2
1163,21412,4967,28921,13583,1798,3,2
2162,1095,6269,1980,609,3860,3,1
301,4051,3347,6996,1538,239,3,1
1278,3916,40721,5876,2587,532,3,2
224,10473,491,11532,5611,744,3,2
1333,1449,27329,1947,204,2436,3,1
1130,3683,5264,5005,2024,1057,3,1
1340,29892,4098,26866,17740,2616,3,2
1282,9933,5417,10487,7572,38,3,2
436,1970,13779,1648,227,596,3,1
1603,5360,6137,8040,3084,129,3,1
225,3045,8590,7854,4095,96,3,2
2017,38369,35942,59598,26701,3254,3,2
964,6245,7823,6544,4074,4154,3,2
1295,11601,9396,15775,7677,2896,3,2
1145,1227,4760,3250,1247,3724,3,1
1423,20959,85,45828,24231,36,3,2
27,1534,9,7417,3468,175,3,1
834,6759,19913,13462,5141,1256,3,2
3095,7260,2446,3993,788,5870,3,1
144,2820,8352,1293,656,779,3,1
1365,2037,16705,3202,116,10643,3,1
14472,1266,18291,21042,4173,5373,3,1
181,5139,4420,2661,1321,8872,3,1
648,5332,19899,8713,764,8132,3,2
1780,6343,8190,9794,1901,1285,3,2
975,1137,20398,3,3,4407,3,1
894,3587,717,6532,529,7530,3,1
1009,12697,12205,28540,12034,869,3,2
167,1175,10766,2067,301,2096,3,1
1653,3259,1640,3655,1202,868,3,1
529,829,7005,3009,610,430,3,1
156,9540,219,14403,7818,283,3,2
2342,9232,10362,11009,3537,737,3,2
772,1563,20874,1783,550,2320,3,1
120,3327,11867,4814,3837,1178,3,2
2944,46197,16117,92780,40827,1026,3,2
903,73498,22925,32114,20070,987,3,2
14351,5025,43265,8117,1579,6312,3,1
46,542,7864,4042,165,9735,3,1
3178,3836,24904,5330,454,3443,3,1
360,596,11405,1638,69,3347,3,1
1117,2762,12754,2530,627,8693,3,1
5130,27472,9198,32034,18906,3232,3,2
2698,3090,11314,2062,71,35009,3,1
244,12220,5626,11323,5038,206,3,2
709,2920,3,6252,223,440,3,1
217,2616,23,8118,3874,145,3,2
63,254,403,610,54,774,3,1
132,112,503,778,56,895,3,1
323,2182,9658,1909,215,5639,3,1
3029,7779,11594,12144,8035,3252,3,2
1838,10810,1420,16267,6766,1593,3,2
1386,6459,2932,7677,4573,2561,3,2
2498,3504,56082,8906,1480,18028,3,1
548,2132,14100,3445,1491,1336,3,1
1378,1014,15587,3970,139,910,3,1
1831,6337,1454,10704,6830,133,3,2
1438,10646,8797,14886,8969,2471,3,2
1236,8397,1531,6981,2505,247,3,2
3,16729,1406,28986,836,673,3,2
1647,1648,11818,1694,169,2276,3,1
1519,11114,12579,17569,6457,805,3,2
2708,2770,19046,2469,483,8853,3,1
1561,2295,14438,1733,585,3220,3,1
1266,1080,18044,2000,118,2555,3,1
610,793,11134,2988,276,2715,3,1
222,2521,11173,3355,310,1517,3,1
1160,3880,6990,5380,319,1647,3,1
933,1891,20049,2362,411,5343,3,1
635,2344,8258,2147,266,3896,3,1
1136,1200,17160,3412,174,2417,3,1
255,3234,4020,1498,264,2395,3,1
860,201,12212,245,25,1991,3,1
143,10769,11170,8814,1976,2194,3,2
1621,1642,36050,2961,500,4787,3,1
918,3473,76237,7102,778,16538,3,1
483,1840,19219,1658,349,8195,3,1
2749,7243,21465,10685,2386,880,3,2
3,8847,140,3823,1062,142,3,1
1819,926,42312,1510,410,1718,3,1
911,2428,7149,699,395,6316,3,1
310,589,2101,314,70,346,3,1
328,2032,14903,2479,955,576,3,1
396,1042,9434,1235,256,436,3,1
537,1882,7388,2174,47,720,3,1
326,1289,6300,2591,199,1170,3,1
1542,8579,4625,7030,2447,4575,3,1
36,8080,3087,8282,721,661,3,1
3271,4257,13537,5034,249,155,3,1
929,4979,5387,3343,637,825,3,1
2616,4280,17623,7305,960,2279,3,1
1450,13252,30379,5189,51,321,3,1
3,7152,37036,8253,20,2995,3,1
318,1596,10405,1096,399,8425,3,1
201,3677,18827,1988,516,118,3,1
4430,8384,22039,34792,12591,42,3,2
520,1936,7769,2177,73,926,3,1
526,3373,9203,2707,1082,1286,3,1
434,584,5924,542,283,4052,3,1
1440,1433,31812,1651,113,800,3,1
1067,1825,16225,1765,170,853,3,1
1774,3328,1289,2022,255,531,3,1
184,1371,18840,3135,352,3001,3,1
1627,9250,3463,2368,302,779,3,1
8,55,622,137,7,75,3,1
2153,10690,1989,19460,11577,233,3,2
3182,5291,3830,14855,6694,317,3,2
418,1366,17773,2474,811,3378,3,1
1682,6570,2861,9618,4004,930,3,2
303,7704,355,14682,8077,398,3,2
2157,3651,1725,12822,4424,824,3,2
2233,540,12434,283,3,1092,3,1
610,2024,15177,3810,232,2665,3,1
446,15726,5531,26870,13726,2367,3,2
238,7603,5224,8584,3674,2540,3,2
2379,12653,15615,19858,7108,4425,3,2
3637,6721,4822,9170,4973,993,3,2
693,3195,2926,3268,1680,405,3,1
429,735,5809,803,79,1393,3,1
750,717,5414,2155,69,2399,3,1
323,8675,260,13430,7015,1116,3,2
6250,25862,200,19816,8773,651,3,2
707,5479,955,6536,2840,333,3,1
716,7677,514,19805,9836,937,3,2
1442,1208,286,5241,153,2515,3,1
1697,7845,2343,11874,4196,52,3,2
230,6958,45640,6536,1532,7368,3,1
2631,7330,12759,4533,20,1752,3,1
395,7075,11002,4945,120,1152,3,1
2165,4888,3157,2500,273,4477,3,1
2794,6036,12356,8887,1382,402,3,1
8550,29627,112151,18148,4948,16745,3,1
156,8533,694,10518,6907,443,3,1
47943,43950,36847,20170,239,36534,3,1
11,918,327,4710,334,74,3,1
247,6448,8170,1139,58,2181,3,1
727,521,3009,854,949,3470,3,1
3,8002,2438,9819,3459,6269,3,1
404,7639,8040,11687,6839,2758,3,2
1856,11577,834,11522,4027,275,3,2
64,6250,16936,1981,118,7332,3,1
84,295,13624,1381,43,890,3,1
409,1461,5509,2251,187,547,3,1
