Region,Grocery,Frozen,Detergents_Paper,Channel
3,7561,214,2674,2
3,9568,1762,3293,2
3,7684,2405,3516,2
3,4221,6404,507,1
3,7198,3915,1777,2
3,5126,666,1795,2
3,6975,480,3140,2
3,9426,1669,3321,2
3,6192,425,1716,1
3,18881,1159,7425,2
3,12974,4400,5977,2
3,4523,1420,549,2
3,11757,287,3881,2
3,14982,3095,6707,2
3,12091,294,5058,2
3,3821,397,964,1
3,12121,134,4508,2
3,2933,839,370,1
3,10099,2205,2767,2
3,9464,669,2518,1
3,4602,1066,2259,2
3,2010,3383,375,1
3,4469,9408,2381,1
3,22019,5154,4337,2
3,13792,2915,4482,2
3,7595,201,4003,2
3,2861,3151,242,1
3,3045,485,100,1
3,25957,1158,8604,2
3,2609,1200,1107,1
3,11107,1148,2134,1
3,3133,2088,820,1
3,2886,266,918,1
3,7326,6130,361,1
3,2262,425,483,1
3,11091,833,4239,2
3,5428,1729,862,1
3,12477,1920,6506,2
3,16709,33,6956,2
3,902,10002,212,1
3,4757,9510,1145,1
3,5956,2033,2575,1
3,14961,188,6899,2
3,23998,787,9529,2
3,10471,541,4618,2
3,21531,1740,7353,2
3,21955,1668,6792,2
3,55571,7782,24171,2
3,10868,584,5121,2
3,28921,1798,13583,2
3,1980,3860,609,1
3,6996,239,1538,1
3,5876,532,2587,2
3,11532,744,5611,2
3,1947,2436,204,1
3,5005,1057,2024,1
3,26866,2616,17740,2
3,10487,38,7572,2
3,1648,596,227,1
3,8040,129,3084,1
3,7854,96,4095,2
3,59598,3254,26701,2
3,6544,4154,4074,2
3,15775,2896,7677,2
3,3250,3724,1247,1
3,45828,36,24231,2
3,7417,175,3468,1
3,13462,1256,5141,2
3,3993,5870,788,1
3,1293,779,656,1
3,3202,10643,116,1
3,21042,5373,4173,1
3,2661,8872,1321,1
3,8713,8132,764,2
3,9794,1285,1901,2
3,3,4407,3,1
3,6532,7530,529,1
3,28540,869,12034,2
3,2067,2096,301,1
3,3655,868,1202,1
3,3009,430,610,1
3,14403,283,7818,2
3,11009,737,3537,2
3,1783,2320,550,1
3,4814,1178,3837,2
3,92780,1026,40827,2
3,32114,987,20070,2
3,8117,6312,1579,1
3,4042,9735,165,1
3,5330,3443,454,1
3,1638,3347,69,1
