@relation 'Wholesale customers data-weka.filters.unsupervised.attribute.Remove-V-R7,5,4,2,8,3,6,1'

@attribute Detergents_Paper numeric
@attribute Grocery numeric
@attribute Milk numeric
@attribute Region numeric
@attribute Delicassen numeric
@attribute Fresh numeric
@attribute Frozen numeric
@attribute Channel numeric

@data
2674,7561,9656,3,1338,12669,214,2
3293,9568,9810,3,1776,7057,1762,2
3516,7684,8808,3,7844,6353,2405,2
507,4221,1196,3,1788,13265,6404,1
1777,7198,5410,3,5185,22615,3915,2
1795,5126,8259,3,1451,9413,666,2
3140,6975,3199,3,545,12126,480,2
3321,9426,4956,3,2566,7579,1669,2
1716,6192,3648,3,750,5963,425,1
7425,18881,11093,3,2098,6006,1159,2
5977,12974,5403,3,1744,3366,4400,2
549,4523,1124,3,497,13146,1420,2
3881,11757,12319,3,2931,31714,287,2
6707,14982,6208,3,602,21217,3095,2
5058,12091,9465,3,2168,24653,294,2
964,3821,1114,3,412,10253,397,1
4508,12121,8816,3,1080,1020,134,2
370,2933,6157,3,4478,5876,839,1
2767,10099,6327,3,3181,18601,2205,2
2518,9464,2495,3,501,7780,669,1
2259,4602,4519,3,2124,17546,1066,2
375,2010,871,3,569,5567,3383,1
2381,4469,1917,3,4334,31276,9408,1
4337,22019,36423,3,16523,26373,5154,2
4482,13792,9776,3,5778,22647,2915,2
4003,7595,4230,3,57,16165,201,2
242,2861,961,3,833,9898,3151,1
100,3045,803,3,518,14276,485,1
8604,25957,20484,3,5206,4113,1158,2
1107,2609,2100,3,823,43088,1200,1
2134,11107,3610,3,2963,18815,1148,1
820,3133,4339,3,985,2612,2088,1
918,2886,1318,3,405,21632,266,1
361,7326,4786,3,1083,29729,6130,1
483,2262,1979,3,395,1502,425,1
4239,11091,5491,3,436,688,833,2
862,5428,4362,3,4626,29955,1729,1
6506,12477,10556,3,714,15168,1920,2
6956,16709,15729,3,433,4591,33,2
212,902,555,3,2916,56159,10002,1
1145,4757,4332,3,5864,24025,9510,1
2575,5956,3065,3,2802,19176,2033,1
6899,14961,7555,3,46,10850,188,2
9529,23998,11095,3,72,630,787,2
4618,10471,7027,3,65,9670,541,2
7353,21531,22044,3,4985,5181,1740,2
6792,21955,14069,3,1452,3103,1668,2
24171,55571,54259,3,6465,44466,7782,2
